Title,Genre,Premiere,Runtime,IMDB Score,Language,Language1,Language2,Language3
If Anything Happens I Love You,Animation / Short,2020-11-20,12,7.8,English,English,,
The Princess Switch: Switched Again,Romantic comedy,2020-11-19,97,5.4,English,English,,
Jingle Jangle: A Christmas Journey,Family/Christmas musical,2020-11-13,119,6.5,English,English,,
The Life Ahead,Drama,2020-11-13,95,6.8,Italian,Italian,,
Ludo,Anthology/Dark comedy,2020-11-12,149,7.6,Hindi,Hindi,,
What We Wanted,Drama,2020-11-11,93,5.8,German,German,,
Citation,Drama,2020-11-06,151,6.2,English,English,,
Operation Christmas Drop,Romantic comedy,2020-11-05,96,5.8,English,English,,
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow / Interview,2020-11-03,14,7,English,English,,
Kaali Khuhi,Mystery,2020-10-30,90,3.4,Hindi,Hindi,,
The Day of the Lord,Drama,2020-10-30,93,4.9,Spanish,Spanish,,
Rogue City,Crime drama,2020-10-30,116,6.1,French,French,,
His House,Thriller,2020-10-30,93,6.5,English,English,,
Nobody Sleeps in the Woods Tonight,Horror,2020-10-28,103,4.8,Polish,Polish,,
Holidate,Romantic comedy/Holiday,2020-10-28,104,6.1,English,English,,
Secrets of the Saqqara Tomb,Documentary,2020-10-28,114,7.3,English/Arabic,English,Arabic,
Sarah Cooper: Everything's Fine,Variety show,2020-10-27,49,5.6,English,English,,
Guillermo Vilas: Settling the Score,Documentary,2020-10-27,94,7.1,Spanish,Spanish,,
Over the Moon,Animation/Musical/Adventure,2020-10-23,95,6.4,English,English,,
Cadaver,Horror,2020-10-22,86,5.1,Norwegian,Norwegian,,
Rebecca,Romantic thriller,2020-10-21,123,6,English,English,,
The Trial of the Chicago 7,Drama,2020-10-16,130,7.8,English,English,,
Love Like the Falling Rain,Drama,2020-10-15,86,5,Indonesian,Indonesian,,
A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,2020-10-15,98,5.4,English,English,,
Rooting for Roona,Documentary,2020-10-15,41,7.1,Bengali,Bengali,,
Blackpink: Light Up the Sky,Documentary,2020-10-14,79,7.5,Korean,Korean,,
The Three Deaths of Marisela Escobedo,Documentary,2020-10-14,109,8.2,Spanish,Spanish,,
Octonauts & the Great Barrier Reef,Animation,2020-10-13,47,7.3,English,English,,
Ginny Weds Sunny,Romantic comedy,2020-10-09,125,5.7,Hindi,Hindi,,
The 40-Year-Old Version,Comedy,2020-10-09,124,7.2,English,English,,
Bigflo & Oil: Hip Hop Frenzy,Documentary,2020-10-08,100,6.9,French,French,,
Hubie Halloween,Comedy,2020-10-07,103,5.2,English,English,,
David Attenborough: A Life on Our Planet,Documentary,2020-10-04,83,9,English,English,,
The Binding,Drama,2020-10-02,93,4.7,Italian,Italian,,
Òlòt?ré,Crime drama,2020-10-02,106,5.5,English,English,,
Vampires vs. the Bronx,Horror comedy,2020-10-02,86,5.6,English,English,,
You've Got This,Romantic comedy,2020-10-02,111,5.8,Spanish,Spanish,,
Serious Men,Drama,2020-10-02,114,6.8,Hindi,Hindi,,
Dick Johnson Is Dead,Documentary,2020-10-02,90,7.5,English,English,,
All Because of You,Action comedy,2020-10-01,101,4.2,Malay,Malay,,
The Boys in the Band,Drama,2020-09-30,121,6.8,English,English,,
The Boys in the Band: Something Personal,Aftershow / Interview,2020-09-30,28,6.8,English,English,,
American Murder: The Family Next Door,Documentary,2020-09-30,82,7.2,English,English,,
A Love Song for Latasha,Documentary,2020-09-21,19,6.8,English,English,,
Whipped,Romantic comedy,2020-09-18,97,4.1,Indonesian,Indonesian,,
Dolly Kitty and Those Twinkling Stars,Drama,2020-09-18,120,5.4,Hindi,Hindi,,
GIMS: On the Record,Documentary,2020-09-17,96,6.8,French,French,,
The Paramedic,Thriller,2020-09-16,94,5.6,Spanish,Spanish,,
The Devil All the Time,Psychological thriller,2020-09-16,138,7.1,English,English,,
Hope Frozen: A Quest to Live Twice,Documentary,2020-09-15,80,6.7,Thia/English,Thia,English,
Dad Wanted,Family,2020-09-11,102,5.7,Spanish,Spanish,,
The Babysitter: Killer Queen,Comedy/Horror,2020-09-10,102,5.8,English,English,,
The Social Dilemma,Documentary,2020-09-09,94,7.6,English,English,,
My Octopus Teacher,Documentary,2020-09-07,85,8.1,English,English,,
I'm Thinking of Ending Things,Psychological thriller,2020-09-04,134,6.6,English,English,,
"Love, Guaranteed",Romantic comedy,2020-09-03,91,5.6,English,English,,
Freaks: You're One of Us,Supernatural drama,2020-09-02,92,5.4,German,German,,
Unknown Origins,Thriller,2020-08-28,96,6.1,Spanish,Spanish,,
All Together Now,Drama,2020-08-28,93,6.5,English,English,,
Rising Phoenix,Documentary,2020-08-26,106,8.1,English,English,,
Dark Forces,Thriller,2020-08-21,81,2.6,Spanish,Spanish,,
The Sleepover,Comedy,2020-08-21,103,5.6,English,English,,
Class of '83,Drama,2020-08-21,98,5.8,Hindi,Hindi,,
John Was Trying to Contact Aliens,Documentary,2020-08-20,16,6.4,English,English,,
The Crimes That Bind,Crime drama,2020-08-20,99,6.6,Spanish,Spanish,,
Crazy Awesome Teachers,Comedy-drama,2020-08-17,101,6.2,Indonesian,Indonesian,,
Fearless,Animation/Superhero,2020-08-14,89,4.9,English,English,,
Project Power,Superhero,2020-08-14,113,6,English,English,,
Octonauts & the Caves of Sac Actun,Animation,2020-08-14,72,6.2,English,English,,
Gunjan Saxena: The Kargil Girl,Drama,2020-08-12,112,5.3,Hindi,Hindi,,
Work It,Dance comedy,2020-08-07,93,6.1,English,English,,
Anelka: Misunderstood,Documentary,2020-08-05,94,6.4,French,French,,
Seriously Single,Comedy,2020-07-31,107,4.5,English,English,,
Raat Akeli Hai,Thriller,2020-07-31,149,7.3,Hindi,Hindi,,
The Speed Cubers,Documentary,2020-07-29,40,7.4,English,English,,
The Kissing Booth 2,Romantic comedy,2020-07-24,131,5.8,English,English,,
Offering to the Storm,Thriller,2020-07-24,139,6.2,Spanish,Spanish,,
The Larva Island Movie,Animation,2020-07-23,90,5.1,English,English,,
Father Soldier Son,Documentary,2020-07-17,100,7.3,English,English,,
Fatal Affair,Thriller,2020-07-16,89,4.5,English,English,,
The Players,Comedy,2020-07-15,88,4.6,Italian,Italian,,
We Are One,Documentary,2020-07-14,86,4.6,French,French,,
The Old Guard,Superhero/Action,2020-07-10,124,6.7,English,English,,
The Claudia Kishi Club,Documentary,2020-07-10,17,6.9,English,English,,
Mucho Mucho Amor: The Legend of Walter Mercado,Documentary,2020-07-08,96,7.3,Spanish/English,Spanish,English,
Desperados,Romantic comedy,2020-07-03,106,5.2,English,English,,
Under the Riccione Sun,Romantic teenage drama,2020-07-01,101,5.4,Italian,Italian,,
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,2020-06-26,123,6.5,English,English,,
Nobody Knows I'm Here,Drama,2020-06-24,91,6.5,Spanish,Spanish,,
Bulbbul,Horror,2020-06-24,94,6.6,Hindi,Hindi,,
Athlete A,Documentary,2020-06-24,104,7.6,English,English,,
One-Way to Tomorrow,Romance,2020-06-19,90,5.6,Turkish,Turkish,,
Lost Bullet,Thriller,2020-06-19,92,6.2,French,French,,
Feel the Beat,Family/Comedy-drama,2020-06-19,107,6.3,English,English,,
Disclosure: Trans Lives on Screen,Documentary,2020-06-19,107,8.2,English,English,,
One Take,Documentary,2020-06-18,85,5.7,Thai,Thai,,
A Whisker Away,Anime/Fantasy,2020-06-18,104,6.7,Japanese,Japanese,,
Da 5 Bloods,War drama,2020-06-12,155,6.5,English,English,,
The Last Days of American Crime,Heist film/Thriller,2020-06-05,149,3.7,English,English,,
Choked: Paisa Bolta Hai,Drama,2020-06-05,114,5.8,Hindi,Hindi,,
Spelling the Dream,Documentary,2020-06-03,83,6.9,English,English,,
Intuition,Thriller,2020-05-28,116,5.3,Spanish,Spanish,,
I'm No Longer Here,Drama,2020-05-27,105,7.3,Spanish,Spanish,,
The Lovebirds,Romantic comedy,2020-05-22,87,6.1,English,English,,
Ben Platt: Live from Radio City Music Hall,Concert Film,2020-05-20,85,8.4,English,English,,
The Wrong Missy,Comedy,2020-05-13,90,5.7,English,English,,
Have a Good Trip: Adventures in Psychedelics,Documentary,2020-05-11,85,6.8,English,English,,
Becoming,Documentary,2020-05-06,89,6.8,English,English,,
Mrs. Serial Killer,Thriller,2020-05-01,106,4.8,Hindi,Hindi,,
All Day and a Night,Drama,2020-05-01,121,5.8,English,English,,
The Half of It,Romance,2020-05-01,105,6.9,English,English,,
Dangerous Lies,Thriller,2020-04-30,97,5.3,English,English,,
Rich in Love,Romantic comedy,2020-04-30,105,5.8,Portuguese,Portuguese,,
Murder to Mercy: The Cyntoia Brown Story,Documentary,2020-04-29,97,6.4,English,English,,
A Secret Love,Documentary,2020-04-29,82,7.9,English,English,,
Extraction,Action,2020-04-24,117,6.7,English,English,,
Time to Hunt,Thriller,2020-04-23,134,6.3,Korean,Korean,,
The Willoughbys,Animation/Comedy/Adventure,2020-04-22,90,6.4,English,English,,
Circus of Books,Documentary,2020-04-22,92,7.1,English,English,,
Earth and Blood,Action,2020-04-17,80,4.9,French,French,,
Rising High,Satire,2020-04-17,94,5.8,German,German,,
Sergio,Biopic,2020-04-17,118,6.1,English,English,,
The Main Event,Comedy,2020-04-10,101,4.8,English,English,,
Love Wedding Repeat,Romantic comedy,2020-04-10,100,5.5,English,English,,
Tigertail,Drama,2020-04-10,91,6.5,English/Taiwanese/Mandarin,English,Taiwanese,Mandarin
LA Originals,Documentary,2020-04-10,92,7.2,English,English,,
Coffee & Kareem,Action comedy,2020-04-03,88,5.1,English,English,,
Sol Levante,Anime / Short,2020-04-02,4,4.7,English,English,,
Maska,Romantic comedy,2020-03-27,111,5.9,Hindi,Hindi,,
The Decline,Thriller,2020-03-27,83,5.9,French,French,,
Uncorked,Drama,2020-03-27,103,6.3,English,English,,
The Occupant,Thriller,2020-03-25,103,6.4,Spanish,Spanish,,
Crip Camp: A Disability Revolution,Documentary,2020-03-25,108,7.7,English,English,,
Ultras,Sports film,2020-03-20,108,5.9,Italian,Italian,,
